size,sparsity,spectral_norm,spectral_cond,fwd_err,decomp_err_12,decomp_err_365
3,0.3333333333333333,0.0616183874025361625817077303039,inf,"('6.4926e-17', '6.0738e-12', '7.7667e-16')","('6.28155e-16', '6.27958e-16', '1.1425e-14', '1.21506', 'Sonnenberg method')","('3.05144e-14', '4.02817e-14', '3.01347e-13', '1.21692', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0190518282786303436314134512958,inf,"('2.707e-17', '2.7945e-15', '9.2884e-16')","('1.26616e-16', '1.26597e-16', '1.46315e-14', '1.11387', 'Sonnenberg method')","('1.59712e-14', '2.02251e-14', '1.71499e-13', '1.23658', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0724521822356008285135600543832,inf,"('3.5834e-17', '6.0542e-12', '9.0526e-16')","('2.12392e-17', '1.15977e-15', '1.39299e-14', '1.18255', 'Sonnenberg method')","('2.37676e-15', '2.37781e-15', '3.37004e-13', '1.21668', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0539428574055516238107860227751,inf,"('5.2967e-17', '1.5143e-12', '5.7875e-17')","('1.00687e-15', '1.329e-15', '1.19491e-15', '1.61619', 'Schur-Padé with RegRE')","('2.14131e-14', '2.14131e-14', '1.60765e-13', '1.69411', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.051448797317072827230065460491,inf,"('6.2699e-17', '4.7093e-13', '2.7444e-16')","('2.61393e-16', '2.61393e-16', '5.14856e-15', '1.27843', 'Sonnenberg method')","('1.27549e-14', '1.27549e-14', '1.34008e-13', '1.71741', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0362577425581463316625762731992,inf,"('6.1139e-17', '1.3084e-13', '8.4309e-16')","('6.92851e-16', '4.94346e-16', '7.08056e-15', '1.22224', 'Sonnenberg method')","('1.05682e-14', '1.05682e-14', '3.1221e-13', '1.3263', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0642557890289451295682243987759,inf,"('2.6926e-17', '2.9502e-12', '7.8854e-16')","('3.09912e-16', '1.97805e-15', '9.36057e-15', '1.42541', 'Sonnenberg method')","('1.16664e-14', '1.16664e-14', '5.03274e-13', '1.21473', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0573744373189743282937781131217,inf,"('8.8826e-17', '7.8944e-13', '8.9615e-16')","('5.23834e-16', '5.23779e-16', '6.01532e-15', '1.27825', 'Schur-Padé with RegRE')","('1.63535e-14', '1.89169e-14', '2.10588e-13', '1.69096', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0415744909994603323938161479388,inf,"('1.0375e-16', '3.6077e-13', '4.5118e-16')","('3.85962e-16', '1.09437e-15', '1.13706e-14', '1.19786', 'Sonnenberg method')","('1.71381e-14', '1.84945e-14', '3.0397e-13', '1.29129', 'Schur-Padé with RegRE')"
3,0.5555555555555556,0.0554431378350392713716990104015,inf,"('7.9923e-17', '6.5225e-13', '8.5379e-17')","('8.81518e-16', '8.81456e-16', '9.92128e-16', '1.19925', 'Schur-Padé with RegRE')","('7.08746e-15', '3.41982e-14', '1.50217e-14', '1.19169', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0438807815889929435487359996488,inf,"('1.8089e-17', '4.0113e-13', '1.182e-15')","('8.87247e-16', '8.87266e-16', '1.42373e-14', '1.40085', 'Sonnenberg method')","('2.00223e-14', '2.00223e-14', '3.4516e-13', '1.286', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0213325257078069391167444814969,inf,"('7.9601e-17', '3.0393e-15', '5.2248e-16')","('5.19367e-16', '5.19349e-16', '1.22685e-14', '1.19409', 'Sonnenberg method')","('2.04759e-14', '2.04759e-14', '3.67757e-13', '1.71675', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0104485432998832852899681998183,inf,"('3.6687e-17', '1.01e-16', '1.1085e-16')","('3.52563e-16', '3.52567e-16', '6.66409e-16', '0.938004', 'Sonnenberg method')","('1.85219e-14', '1.85219e-14', '2.71209e-14', '1.7239', 'Schur-Padé with RegRE')"
